INFO:Logger:Environment: CartPole-v1
INFO:Logger:Agent: DQN Agent with Prioritized Replay Memory
INFO:Logger:Learning rate: 0.0025
INFO:Logger:Gamma: 0.9
INFO:Logger:Epsilon: 1.0
INFO:Logger:Epsilon decay: 0.001
INFO:Logger:Minimum epsilon: 0.01
INFO:Logger:Device used: cuda
INFO:Logger:[TRAIN][ep 170/1000][TIMESTEP 220]: 220.0
INFO:Logger:[TRAIN][ep 171/1000][TIMESTEP 216]: 216.0
INFO:Logger:[TRAIN][ep 172/1000][TIMESTEP 235]: 235.0
INFO:Logger:[TRAIN][ep 173/1000][TIMESTEP 185]: 185.0
INFO:Logger:[TRAIN][ep 174/1000][TIMESTEP 241]: 241.0
INFO:Logger:[TRAIN][ep 175/1000][TIMESTEP 225]: 225.0
INFO:Logger:[TRAIN][ep 176/1000][TIMESTEP 189]: 189.0
INFO:Logger:[TRAIN][ep 177/1000][TIMESTEP 64]: 64.0
INFO:Logger:[TRAIN][ep 178/1000][TIMESTEP 243]: 243.0
INFO:Logger:[TRAIN][ep 179/1000][TIMESTEP 241]: 241.0
INFO:Logger:[TRAIN][ep 180/1000][TIMESTEP 223]: 223.0
INFO:Logger:[TRAIN][ep 181/1000][TIMESTEP 182]: 182.0
INFO:Logger:[TRAIN][ep 182/1000][TIMESTEP 29]: 29.0
INFO:Logger:[TRAIN][ep 183/1000][TIMESTEP 13]: 13.0
INFO:Logger:[TRAIN][ep 184/1000][TIMESTEP 12]: 12.0
INFO:Logger:[TRAIN][ep 185/1000][TIMESTEP 14]: 14.0
INFO:Logger:[TRAIN][ep 186/1000][TIMESTEP 18]: 18.0
INFO:Logger:[TRAIN][ep 187/1000][TIMESTEP 24]: 24.0
INFO:Logger:[TRAIN][ep 188/1000][TIMESTEP 23]: 23.0
INFO:Logger:[TRAIN][ep 189/1000][TIMESTEP 26]: 26.0
INFO:Logger:[TRAIN][ep 190/1000][TIMESTEP 13]: 13.0
INFO:Logger:[TRAIN][ep 191/1000][TIMESTEP 13]: 13.0
INFO:Logger:[TRAIN][ep 192/1000][TIMESTEP 84]: 84.0
INFO:Logger:[TRAIN][ep 193/1000][TIMESTEP 17]: 17.0
INFO:Logger:[TRAIN][ep 194/1000][TIMESTEP 77]: 77.0
INFO:Logger:[TRAIN][ep 195/1000][TIMESTEP 140]: 140.0
INFO:Logger:[TRAIN][ep 196/1000][TIMESTEP 268]: 268.0
INFO:Logger:[TRAIN][ep 197/1000][TIMESTEP 254]: 254.0
INFO:Logger:[TRAIN][ep 198/1000][TIMESTEP 317]: 317.0
INFO:Logger:[TRAIN][ep 199/1000][TIMESTEP 445]: 445.0
INFO:Logger:[TRAIN][ep 200/1000][TIMESTEP 349]: 349.0
INFO:Logger:[TRAIN][ep 201/1000][TIMESTEP 326]: 326.0
INFO:Logger:[TRAIN][ep 202/1000][TIMESTEP 448]: 448.0
INFO:Logger:[TRAIN][ep 203/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 204/1000][TIMESTEP 361]: 361.0
INFO:Logger:[TRAIN][ep 205/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 206/1000][TIMESTEP 146]: 146.0
INFO:Logger:[TRAIN][ep 207/1000][TIMESTEP 78]: 78.0
INFO:Logger:[TRAIN][ep 208/1000][TIMESTEP 77]: 77.0
INFO:Logger:[TRAIN][ep 209/1000][TIMESTEP 58]: 58.0
INFO:Logger:[TRAIN][ep 210/1000][TIMESTEP 107]: 107.0
INFO:Logger:[TRAIN][ep 211/1000][TIMESTEP 70]: 70.0
INFO:Logger:[TRAIN][ep 212/1000][TIMESTEP 39]: 39.0
INFO:Logger:[TRAIN][ep 213/1000][TIMESTEP 27]: 27.0
INFO:Logger:[TRAIN][ep 214/1000][TIMESTEP 42]: 42.0
INFO:Logger:[TRAIN][ep 215/1000][TIMESTEP 42]: 42.0
INFO:Logger:[TRAIN][ep 216/1000][TIMESTEP 15]: 15.0
INFO:Logger:[TRAIN][ep 217/1000][TIMESTEP 46]: 46.0
INFO:Logger:[TRAIN][ep 218/1000][TIMESTEP 106]: 106.0
INFO:Logger:[TRAIN][ep 219/1000][TIMESTEP 47]: 47.0
INFO:Logger:[TRAIN][ep 220/1000][TIMESTEP 97]: 97.0
INFO:Logger:[TRAIN][ep 221/1000][TIMESTEP 36]: 36.0
INFO:Logger:[TRAIN][ep 222/1000][TIMESTEP 31]: 31.0
INFO:Logger:[TRAIN][ep 223/1000][TIMESTEP 30]: 30.0
INFO:Logger:[TRAIN][ep 224/1000][TIMESTEP 48]: 48.0
INFO:Logger:[TRAIN][ep 225/1000][TIMESTEP 47]: 47.0
INFO:Logger:[TRAIN][ep 226/1000][TIMESTEP 38]: 38.0
INFO:Logger:[TRAIN][ep 227/1000][TIMESTEP 42]: 42.0
INFO:Logger:[TRAIN][ep 228/1000][TIMESTEP 102]: 102.0
INFO:Logger:[TRAIN][ep 229/1000][TIMESTEP 73]: 73.0
INFO:Logger:[TRAIN][ep 230/1000][TIMESTEP 39]: 39.0
INFO:Logger:[TRAIN][ep 231/1000][TIMESTEP 62]: 62.0
INFO:Logger:[TRAIN][ep 232/1000][TIMESTEP 80]: 80.0
INFO:Logger:[TRAIN][ep 233/1000][TIMESTEP 142]: 142.0
INFO:Logger:[TRAIN][ep 234/1000][TIMESTEP 45]: 45.0
INFO:Logger:[TRAIN][ep 235/1000][TIMESTEP 31]: 31.0
INFO:Logger:[TRAIN][ep 236/1000][TIMESTEP 42]: 42.0
INFO:Logger:[TRAIN][ep 237/1000][TIMESTEP 52]: 52.0
INFO:Logger:[TRAIN][ep 238/1000][TIMESTEP 42]: 42.0
INFO:Logger:[TRAIN][ep 239/1000][TIMESTEP 24]: 24.0
INFO:Logger:[TRAIN][ep 240/1000][TIMESTEP 22]: 22.0
INFO:Logger:[TRAIN][ep 241/1000][TIMESTEP 75]: 75.0
INFO:Logger:[TRAIN][ep 242/1000][TIMESTEP 43]: 43.0
INFO:Logger:[TRAIN][ep 243/1000][TIMESTEP 89]: 89.0
INFO:Logger:[TRAIN][ep 244/1000][TIMESTEP 57]: 57.0
INFO:Logger:[TRAIN][ep 245/1000][TIMESTEP 80]: 80.0
INFO:Logger:[TRAIN][ep 246/1000][TIMESTEP 70]: 70.0
INFO:Logger:[TRAIN][ep 247/1000][TIMESTEP 35]: 35.0
INFO:Logger:[TRAIN][ep 248/1000][TIMESTEP 48]: 48.0
INFO:Logger:[TRAIN][ep 249/1000][TIMESTEP 67]: 67.0
INFO:Logger:[TRAIN][ep 250/1000][TIMESTEP 38]: 38.0
INFO:Logger:[TRAIN][ep 251/1000][TIMESTEP 111]: 111.0
INFO:Logger:[TRAIN][ep 252/1000][TIMESTEP 57]: 57.0
INFO:Logger:[TRAIN][ep 253/1000][TIMESTEP 69]: 69.0
INFO:Logger:[TRAIN][ep 254/1000][TIMESTEP 42]: 42.0
INFO:Logger:[TRAIN][ep 255/1000][TIMESTEP 80]: 80.0
INFO:Logger:[TRAIN][ep 256/1000][TIMESTEP 90]: 90.0
INFO:Logger:[TRAIN][ep 257/1000][TIMESTEP 73]: 73.0
INFO:Logger:[TRAIN][ep 258/1000][TIMESTEP 96]: 96.0
INFO:Logger:[TRAIN][ep 259/1000][TIMESTEP 52]: 52.0
INFO:Logger:[TRAIN][ep 260/1000][TIMESTEP 108]: 108.0
INFO:Logger:[TRAIN][ep 261/1000][TIMESTEP 99]: 99.0
INFO:Logger:[TRAIN][ep 262/1000][TIMESTEP 153]: 153.0
INFO:Logger:[TRAIN][ep 263/1000][TIMESTEP 92]: 92.0
INFO:Logger:[TRAIN][ep 264/1000][TIMESTEP 82]: 82.0
INFO:Logger:[TRAIN][ep 265/1000][TIMESTEP 233]: 233.0
INFO:Logger:[TRAIN][ep 266/1000][TIMESTEP 114]: 114.0
INFO:Logger:[TRAIN][ep 267/1000][TIMESTEP 126]: 126.0
INFO:Logger:[TRAIN][ep 268/1000][TIMESTEP 119]: 119.0
INFO:Logger:[TRAIN][ep 269/1000][TIMESTEP 277]: 277.0
INFO:Logger:[TRAIN][ep 270/1000][TIMESTEP 176]: 176.0
INFO:Logger:[TRAIN][ep 271/1000][TIMESTEP 229]: 229.0
INFO:Logger:[TRAIN][ep 272/1000][TIMESTEP 100]: 100.0
INFO:Logger:[TRAIN][ep 273/1000][TIMESTEP 158]: 158.0
INFO:Logger:[TRAIN][ep 274/1000][TIMESTEP 83]: 83.0
INFO:Logger:[TRAIN][ep 275/1000][TIMESTEP 259]: 259.0
INFO:Logger:[TRAIN][ep 276/1000][TIMESTEP 17]: 17.0
INFO:Logger:[TRAIN][ep 277/1000][TIMESTEP 27]: 27.0
INFO:Logger:[TRAIN][ep 278/1000][TIMESTEP 37]: 37.0
INFO:Logger:[TRAIN][ep 279/1000][TIMESTEP 25]: 25.0
INFO:Logger:[TRAIN][ep 280/1000][TIMESTEP 350]: 350.0
INFO:Logger:[TRAIN][ep 281/1000][TIMESTEP 249]: 249.0
INFO:Logger:[TRAIN][ep 282/1000][TIMESTEP 203]: 203.0
INFO:Logger:[TRAIN][ep 283/1000][TIMESTEP 333]: 333.0
INFO:Logger:[TRAIN][ep 284/1000][TIMESTEP 166]: 166.0
INFO:Logger:[TRAIN][ep 285/1000][TIMESTEP 169]: 169.0
INFO:Logger:[TRAIN][ep 286/1000][TIMESTEP 180]: 180.0
INFO:Logger:[TRAIN][ep 287/1000][TIMESTEP 173]: 173.0
INFO:Logger:[TRAIN][ep 288/1000][TIMESTEP 39]: 39.0
